lon,lat,z,start_yr,end_yr,source,site,species,Family,Genus,Tleaf,narea,parea,lma,Vcmax,Vcmax25,Jmax,Jmax25,Date,Year,carea,C_percent,Aarea,original_reference
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Abies lasiocarpa,Pinaceae,Abies,25,2.62,NA,254.5,15.1,15.1,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Arctostaphylos uva-ursi,Ericaceae,Arctostaphylos,25,1.57,NA,127.6,18.3,18.3,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Bistorta bistortoides,Polygonaceae,Bistorta,25,3.22,NA,82.6,47.7,47.7,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Geum rosii,Rosaceae,Geum,25,2.1,NA,84,43.1,43.1,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Picea engelmannii,Pinaceae,Picea,25,3.15,NA,305.8,18.1,18.1,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Pinus flexilis,Pinaceae,Pinus,25,4.1,NA,366.3,44.9,44.9,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Psychrophila leptosepala,Ranunculaceae,Psychrophila,25,2.3,NA,79.4,34.6,34.6,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Salix glauca,Salicaceae,Salix,25,2.14,NA,81.4,41.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Salix planifolia,Salicaceae,Salix,25,2.17,NA,81.3,50.7,50.7,NA,NA,NA,NA,NA,NA,NA,NA
-105.6,40.05,3360,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_Colorado,Vaccinium myrtillus,Ericaceae,Vaccinium,25,1.37,NA,58.5,24.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA
-107,34,1620,2001,2015,Atkin et al. 2015 New Phytologist,Reichetal_New_Mexico,Atriplex canescens,Chenopodiaceae,Atriplex,25,5.29,NA,251.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
